platen_temp_upper,hydraulic_pressure,density
39.0,0.0,
51.6,0.0,
62.94,0.0,
73.15,0.0,
82.33,0.0,
90.6,0.0,
98.04,0.0,
104.73,0.0,
110.76,0.0,
116.19,0.0,
164.6,20.0,
157.66,40.0,
165.42,60.0,
165.0,80.0,
166.82,100.0,
166.78,120.0,
167.31,140.0,
163.37,160.0,
172.86,135.77,
167.42,155.77,
160.7,154.17,
159.48,135.9,
161.96,155.9,
161.54,158.84,
166.1,148.42,
162.84,168.42,
170.53,132.33,
165.29,152.33,
163.61,157.25,
166.94,159.25,
163.27,149.26,
164.99,169.26,
163.82,137.39,
172.03,157.39,
155.51,170.99,
168.33,146.94,
163.54,166.94,
168.03,157.21,
163.1,140.83,
160.03,160.83,
169.06,141.06,
164.89,161.06,
168.61,159.57,
166.75,137.83,
170.53,157.83,
167.06,150.36,
166.22,135.9,
160.57,155.9,
165.45,149.54,
163.16,169.54,
164.6,150.86,
165.77,151.47,
166.59,154.3,
161.73,162.29,
164.71,154.41,
170.57,144.48,
165.5,164.48,
163.67,161.35,
174.27,153.44,
161.05,150.01,
161.39,161.65,
167.84,147.77,
160.17,167.77,
159.88,153.3,
164.43,162.39,
165.81,141.72,
159.92,161.72,
161.16,157.78,
163.67,156.64,
167.55,136.34,
163.42,156.34,
164.4,140.54,
160.35,160.54,
164.08,152.73,
160.54,162.44,
165.2,147.76,
164.61,167.76,
162.68,156.01,
163.33,144.88,
165.1,164.88,
164.59,154.99,
167.79,144.88,
163.62,164.88,
162.8,155.21,
160.18,144.79,
170.55,164.79,
162.21,152.3,
162.82,159.29,
165.63,139.64,
164.97,159.64,
166.48,156.31,
163.99,160.3,
167.53,163.94,
165.13,154.23,
169.27,140.3,
164.37,160.3,
166.58,144.86,
163.87,164.86,
165.58,150.81,
162.84,149.57,
161.9,169.57,
167.35,144.88,
169.53,164.88,
168.68,149.64,
170.8,169.64,
164.22,141.92,
165.52,161.92,
161.68,146.75,
168.65,166.75,
167.34,141.78,
165.32,161.78,
160.21,142.63,
162.3,162.63,
164.29,133.84,
172.44,153.84,
161.71,153.88,
162.81,138.06,
166.3,158.06,
167.33,154.84,
168.24,149.47,
167.23,169.47,
168.79,154.54,
164.48,158.81,
163.17,150.7,
163.3,154.39,
162.2,149.67,
165.28,169.67,
170.92,139.37,
160.51,159.37,
157.45,154.76,
164.33,155.58,
170.6,151.75,
170.57,141.87,
162.69,161.87,
162.63,152.94,
162.37,151.47,
161.78,150.88,
163.15,154.22,
164.65,145.38,
162.46,165.38,
166.76,144.05,
165.64,164.05,
165.0,153.45,
168.24,139.74,
165.24,159.74,
160.7,152.05,
164.07,148.01,
166.86,168.01,
163.84,143.73,
167.19,163.73,
163.87,163.73,
165.44,163.73,
161.98,163.73,
167.32,163.73,
165.61,163.73,
161.54,163.73,
164.99,163.73,
164.06,163.73,
168.01,163.73,
166.09,163.73,
166.78,163.73,
165.21,163.73,
164.43,163.73,
165.05,163.73,
166.11,163.73,
168.89,163.73,
170.13,163.73,
163.26,163.73,
166.62,163.73,
163.97,163.73,
160.91,0.0,
163.8,0.0,
168.29,0.0,
168.56,0.0,
163.19,0.0,
162.21,0.0,
165.54,0.0,
167.14,0.0,
160.96,0.0,
165.19,0.0,2.486
165.18,0.0,
165.16,0.0,
165.14,0.0,
165.13,0.0,
165.11,0.0,
165.1,0.0,
165.09,0.0,
165.08,0.0,
165.08,0.0,
165.07,0.0,
165.78,20.0,
162.56,40.0,
171.08,60.0,
164.9,80.0,
162.19,100.0,
166.89,120.0,
170.15,140.0,
160.27,160.0,
159.29,157.25,
